Passageiro;Sobrevivente;Classe;Nome;Sexo;Idade;Irmãos;Pais
444;1;2;Reynaldo, Ms. Encarnacion;feminino;28;0;0
446;1;1;Dodge, Master. Washington;masculino;4;0;2
447;1;2;Mellinger, Miss. Madeleine Violet;feminino;13;0;1
448;1;1;Seward, Mr. Frederic Kimber;masculino;34;0;0
449;1;3;Baclini, Miss. Marie Catherine;feminino;5;2;1
450;1;1;Peuchen, Major. Arthur Godfrey;masculino;52;0;0
451;0;2;West, Mr. Edwy Arthur;masculino;36;1;2
453;0;1;Foreman, Mr. Benjamin Laventall;masculino;30;0;0
454;1;1;Goldenberg, Mr. Samuel L;masculino;49;1;0
456;1;3;Jalsevac, Mr. Ivan;masculino;29;0;0
457;0;1;Millet, Mr. Francis Davis;masculino;65;0;0
459;1;2;Toomey, Miss. Ellen;feminino;50;0;0
461;1;1;Anderson, Mr. Harry;masculino;48;0;0
462;0;3;Morley, Mr. William;masculino;34;0;0
463;0;1;Gee, Mr. Arthur H;masculino;47;0;0
464;0;2;Milling, Mr. Jacob Christian;masculino;48;0;0
466;0;3;Goncalves, Mr. Manuel Estanslas;masculino;38;0;0
468;0;1;Smart, Mr. John Montgomery;masculino;56;0;0
470;1;3;Baclini, Miss. Helene Barbara;feminino;0,75;2;1
472;0;3;Cacic, Mr. Luka;masculino;38;0;0
473;1;2;West, Mrs. Edwy Arthur (Ada Mary Worth);feminino;33;1;2
474;1;2;Jerwan, Mrs. Amin S (Marie Marthe Thuillard);feminino;23;0;0
475;0;3;Strandberg, Miss. Ida Sofia;feminino;22;0;0
477;0;2;Renouf, Mr. Peter Henry;masculino;34;1;0
478;0;3;Braund, Mr. Lewis Richard;masculino;29;1;0
479;0;3;Karlsson, Mr. Nils August;masculino;22;0;0
480;1;3;Hirvonen, Miss. Hildur E;feminino;2;0;1
481;0;3;Goodwin, Master. Harold Victor;masculino;9;5;2
483;0;3;Rouse, Mr. Richard Henry;masculino;50;0;0
484;1;3;Turkula, Mrs. (Hedwig);feminino;63;0;0
485;1;1;Bishop, Mr. Dickinson H;masculino;25;1;0
487;1;1;Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby);feminino;35;1;0
488;0;1;Kent, Mr. Edward Austin;masculino;58;0;0
489;0;3;Somerton, Mr. Francis William;masculino;30;0;0
490;1;3;"Coutts, Master. Eden Leslie ""Neville""";masculino;9;1;1
492;0;3;Windelov, Mr. Einar;masculino;21;0;0
493;0;1;Molson, Mr. Harry Markland;masculino;55;0;0
494;0;1;Artagaveytia, Mr. Ramon;masculino;71;0;0
495;0;3;Stanley, Mr. Edward Roland;masculino;21;0;0
497;1;1;Eustis, Miss. Elizabeth Mussey;feminino;54;1;0
499;0;1;Allison, Mrs. Hudson J C (Bessie Waldo Daniels);feminino;25;1;2
500;0;3;Svensson, Mr. Olof;masculino;24;0;0
501;0;3;Calic, Mr. Petar;masculino;17;0;0
502;0;3;Canavan, Miss. Mary;feminino;21;0;0
504;0;3;Laitinen, Miss. Kristina Sofia;feminino;37;0;0
505;1;1;Maioni, Miss. Roberta;feminino;16;0;0
506;0;1;Penasco y Castellana, Mr. Victor de Satode;masculino;18;1;0
507;1;2;Quick, Mrs. Frederick Charles (Jane Richards);feminino;33;0;2
509;0;3;Olsen, Mr. Henry Margido;masculino;28;0;0
510;1;3;Lang, Mr. Fang;masculino;26;0;0
511;1;3;Daly, Mr. Eugene Patrick;masculino;29;0;0
513;1;1;McGough, Mr. James Robert;masculino;36;0;0
514;1;1;Rothschild, Mrs. Martin (Elizabeth L. Barrett);feminino;54;1;0
515;0;3;Coleff, Mr. Satio;masculino;24;0;0
516;0;1;Walker, Mr. William Anderson;masculino;47;0;0
517;1;2;Lemore, Mrs. (Amelia Milley);feminino;34;0;0
519;1;2;"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)";feminino;36;1;0
520;0;3;Pavlovic, Mr. Stefo;masculino;32;0;0
521;1;1;Perreault, Miss. Anne;feminino;30;0;0
522;0;3;Vovk, Mr. Janko;masculino;22;0;0
524;1;1;Hippach, Mrs. Louis Albert (Ida Sophia Fischer);feminino;44;0;1
526;0;3;Farrell, Mr. James;masculino;40,5;0;0
527;1;2;Ridsdale, Miss. Lucy;feminino;50;0;0
529;0;3;Salonen, Mr. Johan Werner;masculino;39;0;0
530;0;2;Hocking, Mr. Richard George;masculino;23;2;1
531;1;2;Quick, Miss. Phyllis May;feminino;2;1;1
533;0;3;Elias, Mr. Joseph Jr;masculino;17;1;1
535;0;3;Cacic, Miss. Marija;feminino;30;0;0
536;1;2;Hart, Miss. Eva Miriam;feminino;7;0;2
537;0;1;Butt, Major. Archibald Willingham;masculino;45;0;0
538;1;1;LeRoy, Miss. Bertha;feminino;30;0;0
540;1;1;Frolicher, Miss. Hedwig Margaritha;feminino;22;0;2
541;1;1;Crosby, Miss. Harriet R;feminino;36;0;2
542;0;3;Andersson, Miss. Ingeborg Constanzia;feminino;9;4;2
543;0;3;Andersson, Miss. Sigrid Elisabeth;feminino;11;4;2
544;1;2;Beane, Mr. Edward;masculino;32;1;0
545;0;1;Douglas, Mr. Walter Donald;masculino;50;1;0
546;0;1;Nicholson, Mr. Arthur Ernest;masculino;64;0;0
547;1;2;Beane, Mrs. Edward (Ethel Clarke);feminino;19;1;0
549;0;3;Goldsmith, Mr. Frank John;masculino;33;1;1
550;1;2;Davies, Master. John Morgan Jr;masculino;8;1;1
551;1;1;Thayer, Mr. John Borland Jr;masculino;17;0;2
552;0;2;Sharp, Mr. Percival James R;masculino;27;0;0
554;1;3;"Leeni, Mr. Fahim (""Philip Zenni"")";masculino;22;0;0
555;1;3;Ohman, Miss. Velin;feminino;22;0;0
556;0;1;Wright, Mr. George;masculino;62;0;0
557;1;1;"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")";feminino;48;1;0
559;1;1;Taussig, Mrs. Emil (Tillie Mandelbaum);feminino;39;1;1
560;1;3;de Messemaeker, Mrs. Guillaume Joseph (Emma);feminino;36;1;0
562;0;3;Sivic, Mr. Husein;masculino;40;0;0
563;0;2;Norman, Mr. Robert Douglas;masculino;28;0;0
566;0;3;Davies, Mr. Alfred J;masculino;24;2;0
567;0;3;Stoytcheff, Mr. Ilia;masculino;19;0;0
568;0;3;Palsson, Mrs. Nils (Alma Cornelia Berglund);feminino;29;0;4
570;1;3;Jonsson, Mr. Carl;masculino;32;0;0
571;1;2;Harris, Mr. George;masculino;62;0;0
572;1;1;Appleton, Mrs. Edward Dale (Charlotte Lamson);feminino;53;2;0
573;1;1;"Flynn, Mr. John Irwin (""Irving"")";masculino;36;0;0
575;0;3;Rush, Mr. Alfred George John;masculino;16;0;0
576;0;3;Patchett, Mr. George;masculino;19;0;0
577;1;2;Garside, Miss. Ethel;feminino;34;0;0
578;1;1;Silvey, Mrs. William Baird (Alice Munger);feminino;39;1;0
580;1;3;Jussila, Mr. Eiriik;masculino;32;0;0
581;1;2;Christy, Miss. Julie Rachel;feminino;25;1;1
582;1;1;Thayer, Mrs. John Borland (Marian Longstreth Morris);feminino;39;1;1
583;0;2;Downton, Mr. William James;masculino;54;0;0
584;0;1;Ross, Mr. John Hugo;masculino;36;0;0
586;1;1;Taussig, Miss. Ruth;feminino;18;0;2
587;0;2;Jarvis, Mr. John Denzil;masculino;47;0;0
588;1;1;Frolicher-Stehli, Mr. Maxmillian;masculino;60;1;1
589;0;3;Gilinski, Mr. Eliezer;masculino;22;0;0
591;0;3;Rintamaki, Mr. Matti;masculino;35;0;0
592;1;1;Stephenson, Mrs. Walter Bertram (Martha Eustis);feminino;52;1;0
593;0;3;Elsbury, Mr. William James;masculino;47;0;0
595;0;2;Chapman, Mr. John Henry;masculino;37;1;0
596;0;3;Van Impe, Mr. Jean Baptiste;masculino;36;1;1
598;0;3;Johnson, Mr. Alfred;masculino;49;0;0
600;1;1;"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")";masculino;49;1;0
601;1;2;Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy);feminino;24;2;1
604;0;3;Torber, Mr. Ernst William;masculino;44;0;0
605;1;1;"Homer, Mr. Harry (""Mr E Haven"")";masculino;35;0;0
606;0;3;Lindell, Mr. Edvard Bengtsson;masculino;36;1;0
607;0;3;Karaic, Mr. Milan;masculino;30;0;0
608;1;1;Daniel, Mr. Robert Williams;masculino;27;0;0
609;1;2;Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue);feminino;22;1;2
610;1;1;Shutes, Miss. Elizabeth W;feminino;40;0;0
611;0;3;Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren);feminino;39;1;5
615;0;3;Brocklebank, Mr. William Alfred;masculino;35;0;0
616;1;2;Herman, Miss. Alice;feminino;24;1;2
617;0;3;Danbom, Mr. Ernst Gilbert;masculino;34;1;1
618;0;3;Lobb, Mrs. William Arthur (Cordelia K Stanlick);feminino;26;1;0
619;1;2;Becker, Miss. Marion Louise;feminino;4;2;1
620;0;2;Gavey, Mr. Lawrence;masculino;26;0;0
621;0;3;Yasbeck, Mr. Antoni;masculino;27;1;0
622;1;1;Kimball, Mr. Edwin Nelson Jr;masculino;42;1;0
623;1;3;Nakid, Mr. Sahid;masculino;20;1;1
624;0;3;Hansen, Mr. Henry Damsgaard;masculino;21;0;0
625;0;3;"Bowen, Mr. David John ""Dai""";masculino;21;0;0
626;0;1;Sutton, Mr. Frederick;masculino;61;0;0
627;0;2;Kirkland, Rev. Charles Leonard;masculino;57;0;0
628;1;1;Longley, Miss. Gretchen Fiske;feminino;21;0;0
629;0;3;Bostandyeff, Mr. Guentcho;masculino;26;0;0
631;1;1;Barkworth, Mr. Algernon Henry Wilson;masculino;80;0;0
632;0;3;Lundahl, Mr. Johan Svensson;masculino;51;0;0
633;1;1;Stahelin-Maeglin, Dr. Max;masculino;32;0;0
635;0;3;Skoog, Miss. Mabel;feminino;9;3;2
636;1;2;Davis, Miss. Mary;feminino;28;0;0
637;0;3;Leinonen, Mr. Antti Gustaf;masculino;32;0;0
638;0;2;Collyer, Mr. Harvey;masculino;31;1;1
639;0;3;Panula, Mrs. Juha (Maria Emilia Ojala);feminino;41;0;5
641;0;3;Jensen, Mr. Hans Peder;masculino;20;0;0
642;1;1;Sagesser, Mlle. Emma;feminino;24;0;0
643;0;3;Skoog, Miss. Margit Elizabeth;feminino;2;3;2
645;1;3;Baclini, Miss. Eugenie;feminino;0,75;2;1
646;1;1;Harper, Mr. Henry Sleeper;masculino;48;1;0
647;0;3;Cor, Mr. Liudevit;masculino;19;0;0
648;1;1;Simonius-Blumer, Col. Oberst Alfons;masculino;56;0;0
650;1;3;Stanley, Miss. Amy Zillah Elsie;feminino;23;0;0
652;1;2;Doling, Miss. Elsie;feminino;18;0;1
653;0;3;Kalvik, Mr. Johannes Halvorsen;masculino;21;0;0
655;0;3;"Hegarty, Miss. Hanora ""Nora""";feminino;18;0;0
656;0;2;Hickman, Mr. Leonard Mark;masculino;24;2;0
658;0;3;Bourke, Mrs. John (Catherine);feminino;32;1;1
659;0;2;Eitemiller, Mr. George Floyd;masculino;23;0;0
660;0;1;Newell, Mr. Arthur Webster;masculino;58;0;2
661;1;1;Frauenthal, Dr. Henry William;masculino;50;2;0
662;0;3;Badt, Mr. Mohamed;masculino;40;0;0
663;0;1;Colley, Mr. Edward Pomeroy;masculino;47;0;0
664;0;3;Coleff, Mr. Peju;masculino;36;0;0
665;1;3;Lindqvist, Mr. Eino William;masculino;20;1;0
666;0;2;Hickman, Mr. Lewis;masculino;32;2;0
667;0;2;Butler, Mr. Reginald Fenton;masculino;25;0;0
669;0;3;Cook, Mr. Jacob;masculino;43;0;0
671;1;2;Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford);feminino;40;1;1
672;0;1;Davidson, Mr. Thornton;masculino;31;1;0
673;0;2;Mitchell, Mr. Henry Michael;masculino;70;0;0
674;1;2;Wilhelms, Mr. Charles;masculino;31;0;0
676;0;3;Edvardsson, Mr. Gustaf Hjalmar;masculino;18;0;0
677;0;3;Sawyer, Mr. Frederick Charles;masculino;24,5;0;0
678;1;3;Turja, Miss. Anna Sofia;feminino;18;0;0
679;0;3;Goodwin, Mrs. Frederick (Augusta Tyler);feminino;43;1;6
680;1;1;Cardeza, Mr. Thomas Drake Martinez;masculino;36;0;1
682;1;1;Hassab, Mr. Hammad;masculino;27;0;0
683;0;3;Olsvigen, Mr. Thor Anderson;masculino;20;0;0
684;0;3;Goodwin, Mr. Charles Edward;masculino;14;5;2
685;0;2;Brown, Mr. Thomas William Solomon;masculino;60;1;1
686;0;2;Laroche, Mr. Joseph Philippe Lemercier;masculino;25;1;2
687;0;3;Panula, Mr. Jaako Arnold;masculino;14;4;1
688;0;3;Dakic, Mr. Branko;masculino;19;0;0
689;0;3;Fischer, Mr. Eberhard Thelander;masculino;18;0;0
690;1;1;Madill, Miss. Georgette Alexandra;feminino;15;0;1
691;1;1;Dick, Mr. Albert Adrian;masculino;31;1;0
692;1;3;Karun, Miss. Manca;feminino;4;0;1
694;0;3;Saad, Mr. Khalil;masculino;25;0;0
695;0;1;Weir, Col. John;masculino;60;0;0
696;0;2;Chapman, Mr. Charles Henry;masculino;52;0;0
697;0;3;Kelly, Mr. James;masculino;44;0;0
699;0;1;Thayer, Mr. John Borland;masculino;49;1;1
700;0;3;Humblen, Mr. Adolf Mathias Nicolai Olsen;masculino;42;0;0
701;1;1;Astor, Mrs. John Jacob (Madeleine Talmadge Force);feminino;18;1;0
702;1;1;Silverthorne, Mr. Spencer Victor;masculino;35;0;0
703;0;3;Barbara, Miss. Saiide;feminino;18;0;1
704;0;3;Gallagher, Mr. Martin;masculino;25;0;0
705;0;3;Hansen, Mr. Henrik Juul;masculino;26;1;0
706;0;2;"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")";masculino;39;0;0
707;1;2;"Kelly, Mrs. Florence ""Fannie""";feminino;45;0;0
708;1;1;Calderhead, Mr. Edward Pennington;masculino;42;0;0
709;1;1;Cleaver, Miss. Alice;feminino;22;0;0
711;1;1;"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")";feminino;24;0;0
713;1;1;Taylor, Mr. Elmer Zebley;masculino;48;1;0
714;0;3;Larsson, Mr. August Viktor;masculino;29;0;0
715;0;2;Greenberg, Mr. Samuel;masculino;52;0;0
716;0;3;Soholt, Mr. Peter Andreas Lauritz Andersen;masculino;19;0;0
717;1;1;Endres, Miss. Caroline Louise;feminino;38;0;0
718;1;2;"Troutt, Miss. Edwina Celia ""Winnie""";feminino;27;0;0
720;0;3;Johnson, Mr. Malkolm Joackim;masculino;33;0;0
721;1;2;"Harper, Miss. Annie Jessie ""Nina""";feminino;6;0;1
722;0;3;Jensen, Mr. Svend Lauritz;masculino;17;1;0
723;0;2;Gillespie, Mr. William Henry;masculino;34;0;0
724;0;2;Hodges, Mr. Henry Price;masculino;50;0;0
725;1;1;Chambers, Mr. Norman Campbell;masculino;27;1;0
726;0;3;Oreskovic, Mr. Luka;masculino;20;0;0
727;1;2;Renouf, Mrs. Peter Henry (Lillian Jefferys);feminino;30;3;0
729;0;2;Bryhl, Mr. Kurt Arnold Gottfrid;masculino;25;1;0
730;0;3;Ilmakangas, Miss. Pieta Sofia;feminino;25;1;0
731;1;1;Allen, Miss. Elisabeth Walton;feminino;29;0;0
732;0;3;Hassan, Mr. Houssein G N;masculino;11;0;0
734;0;2;Berriman, Mr. William John;masculino;23;0;0
735;0;2;Troupiansky, Mr. Moses Aaron;masculino;23;0;0
736;0;3;Williams, Mr. Leslie;masculino;28,5;0;0
737;0;3;Ford, Mrs. Edward (Margaret Ann Watson);feminino;48;1;3
738;1;1;Lesurer, Mr. Gustave J;masculino;35;0;0
742;0;1;Cavendish, Mr. Tyrell William;masculino;36;1;0
743;1;1;"Ryerson, Miss. Susan Parker ""Suzette""";feminino;21;2;2
744;0;3;McNamee, Mr. Neal;masculino;24;1;0
745;1;3;Stranden, Mr. Juho;masculino;31;0;0
746;0;1;Crosby, Capt. Edward Gifford;masculino;70;1;1
747;0;3;Abbott, Mr. Rossmore Edward;masculino;16;1;1
748;1;2;Sinkkonen, Miss. Anna;feminino;30;0;0
749;0;1;Marvin, Mr. Daniel Warner;masculino;19;1;0
750;0;3;Connaghton, Mr. Michael;masculino;31;0;0
751;1;2;Wells, Miss. Joan;feminino;4;1;1
752;1;3;Moor, Master. Meier;masculino;6;0;1
753;0;3;Vande Velde, Mr. Johannes Joseph;masculino;33;0;0
754;0;3;Jonkoff, Mr. Lalio;masculino;23;0;0
755;1;2;Herman, Mrs. Samuel (Jane Laver);feminino;48;1;2
756;1;2;Hamalainen, Master. Viljo;masculino;0,67;1;1
757;0;3;Carlsson, Mr. August Sigfrid;masculino;28;0;0
758;0;2;Bailey, Mr. Percy Andrew;masculino;18;0;0
759;0;3;Theobald, Mr. Thomas Leonard;masculino;34;0;0
760;1;1;Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards);feminino;33;0;0
762;0;3;Nirva, Mr. Iisakki Antino Aijo;masculino;41;0;0
763;1;3;Barah, Mr. Hanna Assi;masculino;20;0;0
764;1;1;Carter, Mrs. William Ernest (Lucile Polk);feminino;36;1;2
765;0;3;Eklund, Mr. Hans Linus;masculino;16;0;0
766;1;1;Hogeboom, Mrs. John C (Anna Andrews);feminino;51;1;0
768;0;3;Mangan, Miss. Mary;feminino;30,5;0;0
770;0;3;Gronnestad, Mr. Daniel Danielsen;masculino;32;0;0
771;0;3;Lievens, Mr. Rene Aime;masculino;24;0;0
772;0;3;Jensen, Mr. Niels Peder;masculino;48;0;0
773;0;2;Mack, Mrs. (Mary);feminino;57;0;0
775;1;2;Hocking, Mrs. Elizabeth (Eliza Needs);feminino;54;1;3
776;0;3;Myhrman, Mr. Pehr Fabian Oliver Malkolm;masculino;18;0;0
778;1;3;Emanuel, Miss. Virginia Ethel;feminino;5;0;0
780;1;1;Robert, Mrs. Edward Scott (Elisabeth Walton McMillan);feminino;43;0;1
781;1;3;Ayoub, Miss. Banoura;feminino;13;0;0
782;1;1;Dick, Mrs. Albert Adrian (Vera Gillespie);feminino;17;1;0
783;0;1;Long, Mr. Milton Clyde;masculino;29;0;0
785;0;3;Ali, Mr. William;masculino;25;0;0
786;0;3;Harmer, Mr. Abraham (David Lishin);masculino;25;0;0
787;1;3;Sjoblom, Miss. Anna Sofia;feminino;18;0;0
788;0;3;Rice, Master. George Hugh;masculino;8;4;1
789;1;3;Dean, Master. Bertram Vere;masculino;1;1;2
790;0;1;Guggenheim, Mr. Benjamin;masculino;46;0;0
792;0;2;Gaskell, Mr. Alfred;masculino;16;0;0
795;0;3;Dantcheff, Mr. Ristiu;masculino;25;0;0
796;0;2;Otter, Mr. Richard;masculino;39;0;0
797;1;1;Leader, Dr. Alice (Farnham);feminino;49;0;0
798;1;3;Osman, Mrs. Mara;feminino;31;0;0
799;0;3;Ibrahim Shawah, Mr. Yousseff;masculino;30;0;0
800;0;3;Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert);feminino;30;1;1
801;0;2;Ponesell, Mr. Martin;masculino;34;0;0
802;1;2;Collyer, Mrs. Harvey (Charlotte Annie Tate);feminino;31;1;1
803;1;1;Carter, Master. William Thornton II;masculino;11;1;2
804;1;3;Thomas, Master. Assad Alexander;masculino;0,42;0;1
805;1;3;Hedman, Mr. Oskar Arvid;masculino;27;0;0
806;0;3;Johansson, Mr. Karl Johan;masculino;31;0;0
807;0;1;Andrews, Mr. Thomas Jr;masculino;39;0;0
808;0;3;Pettersson, Miss. Ellen Natalia;feminino;18;0;0
809;0;2;Meyer, Mr. August;masculino;39;0;0
810;1;1;Chambers, Mrs. Norman Campbell (Bertha Griggs);feminino;33;1;0
811;0;3;Alexander, Mr. William;masculino;26;0;0
812;0;3;Lester, Mr. James;masculino;39;0;0
813;0;2;Slemen, Mr. Richard James;masculino;35;0;0
814;0;3;Andersson, Miss. Ebba Iris Alfrida;feminino;6;4;2
815;0;3;Tomlin, Mr. Ernest Portage;masculino;30,5;0;0
817;0;3;Heininen, Miss. Wendla Maria;feminino;23;0;0
818;0;2;Mallet, Mr. Albert;masculino;31;1;1
819;0;3;Holm, Mr. John Fredrik Alexander;masculino;43;0;0
820;0;3;Skoog, Master. Karl Thorsten;masculino;10;3;2
821;1;1;Hays, Mrs. Charles Melville (Clara Jennings Gregg);feminino;52;1;1
822;1;3;Lulic, Mr. Nikola;masculino;27;0;0
823;0;1;Reuchlin, Jonkheer. John George;masculino;38;0;0
824;1;3;Moor, Mrs. (Beila);feminino;27;0;1
825;0;3;Panula, Master. Urho Abraham;masculino;2;4;1
828;1;2;Mallet, Master. Andre;masculino;1;0;2
830;1;1;Stone, Mrs. George Nelson (Martha Evelyn);feminino;62;0;0
831;1;3;Yasbeck, Mrs. Antoni (Selini Alexander);feminino;15;1;0
832;1;2;Richards, Master. George Sibley;masculino;0,83;1;1
834;0;3;Augustsson, Mr. Albert;masculino;23;0;0
835;0;3;Allum, Mr. Owen George;masculino;18;0;0
836;1;1;Compton, Miss. Sara Rebecca;feminino;39;1;1
837;0;3;Pasic, Mr. Jakob;masculino;21;0;0
839;1;3;Chip, Mr. Chang;masculino;32;0;0
841;0;3;Alhomaki, Mr. Ilmari Rudolf;masculino;20;0;0
842;0;2;Mudd, Mr. Thomas Charles;masculino;16;0;0
843;1;1;Serepeca, Miss. Augusta;feminino;30;0;0
844;0;3;Lemberopolous, Mr. Peter L;masculino;34,5;0;0
845;0;3;Culumovic, Mr. Jeso;masculino;17;0;0
846;0;3;Abbing, Mr. Anthony;masculino;42;0;0
848;0;3;Markoff, Mr. Marin;masculino;35;0;0
849;0;2;Harper, Rev. John;masculino;28;0;1
851;0;3;Andersson, Master. Sigvard Harald Elias;masculino;4;4;2
852;0;3;Svensson, Mr. Johan;masculino;74;0;0
853;0;3;Boulos, Miss. Nourelain;feminino;9;1;1
854;1;1;Lines, Miss. Mary Conover;feminino;16;0;1
855;0;2;Carter, Mrs. Ernest Courtenay (Lilian Hughes);feminino;44;1;0
856;1;3;Aks, Mrs. Sam (Leah Rosen);feminino;18;0;1
857;1;1;Wick, Mrs. George Dennick (Mary Hitchcock);feminino;45;1;1
858;1;1;Daly, Mr. Peter Denis ;masculino;51;0;0
859;1;3;Baclini, Mrs. Solomon (Latifa Qurban);feminino;24;0;3
861;0;3;Hansen, Mr. Claus Peter;masculino;41;2;0
862;0;2;Giles, Mr. Frederick Edward;masculino;21;1;0
863;1;1;Swift, Mrs. Frederick Joel (Margaret Welles Barron);feminino;48;0;0
865;0;2;Gill, Mr. John William;masculino;24;0;0
866;1;2;Bystrom, Mrs. (Karolina);feminino;42;0;0
867;1;2;Duran y More, Miss. Asuncion;feminino;27;1;0
868;0;1;Roebling, Mr. Washington Augustus II;masculino;31;0;0
870;1;3;Johnson, Master. Harold Theodor;masculino;4;1;1
871;0;3;Balkic, Mr. Cerin;masculino;26;0;0
872;1;1;Beckwith, Mrs. Richard Leonard (Sallie Monypeny);feminino;47;1;1
873;0;1;Carlsson, Mr. Frans Olof;masculino;33;0;0
874;0;3;Vander Cruyssen, Mr. Victor;masculino;47;0;0
875;1;2;Abelson, Mrs. Samuel (Hannah Wizosky);feminino;28;1;0
876;1;3;"Najib, Miss. Adele Kiamie ""Jane""";feminino;15;0;0
877;0;3;Gustafsson, Mr. Alfred Ossian;masculino;20;0;0
878;0;3;Petroff, Mr. Nedelio;masculino;19;0;0
880;1;1;Potter, Mrs. Thomas Jr (Lily Alexenia Wilson);feminino;56;0;1
881;1;2;Shelley, Mrs. William (Imanita Parrish Hall);feminino;25;0;1
882;0;3;Markun, Mr. Johann;masculino;33;0;0
883;0;3;Dahlberg, Miss. Gerda Ulrika;feminino;22;0;0
884;0;2;Banfield, Mr. Frederick James;masculino;28;0;0
885;0;3;Sutehall, Mr. Henry Jr;masculino;25;0;0
886;0;3;Rice, Mrs. William (Margaret Norton);feminino;39;0;5
887;0;2;Montvila, Rev. Juozas;masculino;27;0;0
888;1;1;Graham, Miss. Margaret Edith;feminino;19;0;0
890;1;1;Behr, Mr. Karl Howell;masculino;26;0;0
891;0;3;Dooley, Mr. Patrick;masculino;32;0;0
